VM,Powerstate,Template,Host,Cluster,Datacenter,OS,ToolsStatus,IPAddresses,DNSName,VMUUID,Notes
T-BAN-APP-05,poweredOn,,,,,,,,,,
P-ANS-01,poweredOn,,,,,,,,,,
T-WIN-02,poweredOn,,,,,,,,,,
T-BAN-ADMP-01,poweredOn,,,,,,,,,,
T-WIN-10,poweredOn,,,,,,,,,,
T-BAN-SSB-01,poweredOn,,,,,,,,,,
D-CUSTOM-02,poweredOn,,,,,,,,,,
T-ACR-CLOUD-02,poweredOn,,,,,,,,,,
T-BAN-APP-06,poweredOn,,,,,,,,,,
D-HUBI-LNX-02,poweredOn,,,,,,,,,,
T-BAN-BATCH-01,poweredOn,,,,,,,,,,
T-BAN-APP-02,poweredOn,,,,,,,,,,
T-BAN-APP-01,poweredOn,,,,,,,,,,
T-ORPHEUS-01,poweredOff,,,,,,,,,,
T-BAN-APP-03,poweredOn,,,,,,,,,,
P-WIN-ADM-01,poweredOff,,,,,,,,,,
T-BAN-ETHOS-01,poweredOn,,,,,,,,,,
T-RESERVAS-C7-01,poweredOn,,,,,,,,,,
T-BAN-ESM-01,poweredOn,,,,,,,,,,
T-APP-REDCAP-OLN-01,poweredOn,,,,,,,,,,
T-HUBI-PYTHON-OLNX-01,poweredOn,,,,,,,,,,
